motion.py - Detect flow/motion in front of the PMW3901 sensor.

Press Ctrl+C to exit!

09/16/22 16:58:07 :: Relative x,y : (001,001) | Absolute x,y : (001,-21)
09/16/22 16:58:07 :: Relative x,y : (001,000) | Absolute x,y : (002,-21)
09/16/22 16:58:07 :: Relative x,y : (-01,000) | Absolute x,y : (001,-21)
09/16/22 16:58:07 :: Relative x,y : (-01,000) | Absolute x,y : (000,-21)
09/16/22 16:58:07 :: Relative x,y : (000,001) | Absolute x,y : (000,-20)
09/16/22 16:58:07 :: Relative x,y : (-01,000) | Absolute x,y : (-01,-20)
09/16/22 16:58:07 :: Relative x,y : (000,-01) | Absolute x,y : (-01,-21)
09/16/22 16:58:07 :: Relative x,y : (000,-01) | Absolute x,y : (-01,-22)
09/16/22 16:58:07 :: Relative x,y : (000,001) | Absolute x,y : (-01,-21)
09/16/22 16:58:07 :: Relative x,y : (001,001) | Absolute x,y : (000,-20)
09/16/22 16:58:07 :: Relative x,y : (000,-01) | Absolute x,y : (000,-21)
09/16/22 16:58:07 :: Relative x,y : (001,001) | Absolute x,y : (001,-20)
